account_id,customer_id,account_type,creation_date,account_status,balance,loan_amount,term_months,interest_rate
eb1f2f49-1bc0-45c8-8991-4abea8f7f6ea,dc3dd10b-91ed-4453-89bb-9f624c441030,Savings,2023-04-21,Active,286882.25,0.0,0.0,0.0
bb9837da-5ee5-4d30-9c22-b2d6e2fffafa,dc3dd10b-91ed-4453-89bb-9f624c441030,Loan,2024-05-27,Active,283167.7,599649.18,36.0,11.7
2ab94e36-bff3-45e8-8db7-966075a889d6,d8946376-be1f-48cc-a278-f8b3b967cd77,Savings,2021-08-21,Active,60711.03,0.0,0.0,0.0
0aeb7e68-88cc-4167-94af-fee48a795ba0,d8946376-be1f-48cc-a278-f8b3b967cd77,Loan,2024-02-20,Inactive,0.0,16768.31,12.0,13.7
6bbcc4b6-2456-45f5-b87b-77ef1356e1e2,d8946376-be1f-48cc-a278-f8b3b967cd77,FixedDeposit,2025-03-02,Active,85812.02,0.0,36.0,4.2
8549ebcf-6acb-4563-abeb-562b90f5ef31,d8946376-be1f-48cc-a278-f8b3b967cd77,FixedDeposit,2022-06-13,Inactive,0.0,0.0,3.0,1.5
758f0ba0-c107-465b-9b5c-8c6c8b90c4c7,83fae1e1-7a78-42d4-81fd-803ebdeedb2d,Savings,2025-03-01,Active,293400.48,0.0,0.0,0.0
27c3f4cc-c9df-4e1d-a76f-346050a01525,83fae1e1-7a78-42d4-81fd-803ebdeedb2d,Loan,2025-04-18,Active,42119.14,63178.66,24.0,16.3
adb86514-add6-4d26-af63-af04ab6b293a,83fae1e1-7a78-42d4-81fd-803ebdeedb2d,Loan,2025-10-13,Active,215045.62,222460.98,60.0,8.7
16e84f3a-eb69-4af4-9653-a9d0b55c3441,24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,Savings,2023-09-02,Active,429975.77,0.0,0.0,0.0
a84ca8d8-3737-4ebe-b314-23be41e6f61f,24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,FixedDeposit,2023-11-08,Inactive,0.0,0.0,3.0,4.5
e0ef577d-3133-478f-9a33-840af6cdb38e,24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,FixedDeposit,2025-07-07,Active,83617.28,0.0,6.0,4.5
213af7c7-c27f-47be-a526-04915f1756c3,3869d8bc-f40c-4f5e-a283-6137c3c35e49,Savings,2025-03-06,Active,48383.65,0.0,0.0,0.0
5481db6b-e697-4187-b4cf-839231725a88,3869d8bc-f40c-4f5e-a283-6137c3c35e49,FixedDeposit,2025-10-03,Active,55726.01,0.0,6.0,4.5
b95ad5d3-59c5-4f90-9dc1-29897dc022a0,980f7c2f-153a-47cf-8597-003573939f9b,Savings,2022-04-26,Active,395488.83,0.0,0.0,0.0
6ddb31f5-a160-4d7b-bbec-b911ae900a05,980f7c2f-153a-47cf-8597-003573939f9b,Loan,2024-07-23,Active,4762.3,9023.18,36.0,19.3
9646b0a2-2428-46fe-9f67-614847328d75,980f7c2f-153a-47cf-8597-003573939f9b,Loan,2023-07-05,Active,222.57,1335.57,36.0,23.5
f15c2879-b791-41a5-b788-6c908bf3b1b4,29e1adfa-15e1-4685-bdda-77a76b1b5f67,Savings,2024-01-18,Active,458064.05,0.0,0.0,0.0
9562e0a4-54ff-4bf6-9511-0b7ac1ceac74,29e1adfa-15e1-4685-bdda-77a76b1b5f67,Loan,2025-08-17,Active,297162.59,356595.11,24.0,8.7
